id,mjd,ra,dec,f0,f1,f2,f3,f4,f5,f6,f7,reconstruction,energy,drlogl
1,55351.32221429,0.8217592,0.11378086,2.6753535398010873,0.6598167343421734,2.8280378168818703,6.294721345009817,8.556403733902531,-0.7681776930646029,0.19440295825628184,0.5882157110035746,Shower,44729.695,-0.023428092
2,55351.46596605,3.391436,-0.15843026,3.0463458394968925,-0.5218705871524634,-2.9235393948119457,66.2636196554011,78.79411635022588,-0.5057694266077738,1.3553021460108725,1.5733113854944791,Shower,101722.3,-0.033502504
3,55451.07074818,2.231976,-0.6050689,2.175865263556806,2.231976096645932,1.5694959628940595,2242.3022118035683,152.89726223914062,1.0,0.0,0.0,Track,67136.5,-0.93658584
4,55477.39309841,2.89947,-0.83245194,2.403248290603142,2.8994702044742002,-2.8296076149551856,253.11923790824412,46.43872335027476,1.0,0.0,0.0,Shower,144204.58,0.030817991
7,55571.25853622,0.08632578,0.23668148,0.7926685208473073,0.4177639770307221,2.3590975082998478,12.627478729002982,6.862668200360821,-0.666041202195191,0.09123617018079165,-2.4869586482353943,Shower,29600.297,-0.018292092
8,55608.82013155,3.1638415,-0.3709753,1.9417716257126756,-3.1193438136836167,1.3450884582016445,2972.5186671798488,334.71965653064996,1.0,0.0,0.0,Track,19719.76,-2.3884077
9,55685.66297127,2.392781,0.6775408,0.9030347494053285,0.9985844932616468,1.6780805369663092,4.1878514885887155,3.745165680853899,-0.7495689842257625,0.2439455412199988,0.970659103264131,Shower,55321.05,-0.01065745
10,55695.27304609,0.21443474,-0.106719196,1.6775155258023364,0.21443474738240778,-3.064229401316462,306.43775993888846,75.54294194180879,1.0,0.0,0.0,Shower,83561.04,-0.1047837
11,55714.59093448,2.5906293,0.14145473,3.048802444846989,0.23582692651539278,0.003941684033767309,14.093277059167514,28.56414425352314,-0.9713317333868312,2.7067764084342976,0.9298684306067074,Shower,79761.805,-0.034922417
12,55739.44112323,5.1321554,-0.87968504,0.9936537818065835,-1.6257735212880573,0.172008800667446,10.576609656411716,34.67524908898214,-0.5144786308816369,1.1581548069553853,0.5643910548609467,Shower,78448.91,-0.07454255
13,55756.11298444,1.2386636,0.69976735,0.8710289986912887,1.2386635774358907,3.003060843666543,1427.6742269072342,511.9985460127897,1.0,0.0,0.0,Track,255581.23,-1.3011957
14,55782.51619115,4.686571,-0.4421343,2.943409412944377,0.9357420472682607,-0.2801484947101011,75.9104436540049,114.01741091756453,-0.4869952876345751,0.517151356569377,-1.241116254359509,Shower,942578.4,0.0048194584
15,55783.18542233,0.58702445,-1.3452429,2.893576870041493,-0.570145095201917,1.3924903577703411,405.0452570339161,205.28742421425176,-0.8574594897389295,0.019265941680156787,-1.3266884428271228,Shower,53827.46,-0.4596189
16,55798.62712854,2.7678576,-0.31464967,3.1403101236009787,-3.1377541386293384,0.37772587755081843,90.18040269522494,142.41537255033103,-1.0,0.05356762574069476,-3.1415906965269498,Shower,27114.434,0.017079225
17,55800.3755483,4.1857395,0.3921507,1.8191801629204587,1.5450059657933166,2.6214786885225254,222.4630968389848,113.06959544050629,-0.8298533493515501,3.045198449550469,-1.1141062342895591,Shower,173575.6,-0.067871064
18,55923.53182042,6.0493083,-0.43114683,2.001943144106087,-0.2338769012942849,1.8347732364706857,3449.8372018792006,665.9794616121343,1.0,0.0,0.0,Track,33121.773,-2.1501622
19,55925.79586186,1.503175,-1.2126492,1.7684527290987948,2.507373362651412,-1.034872999915806,106.7290850940823,111.02612699516945,-0.7482087998814343,0.5326846203492833,1.2051676193591443,Shower,64047.215,-0.011189525
20,55929.39862792,0.64520675,-1.1534078,2.724204090172962,0.6452067764037736,1.6639387242209307,200.15193350579239,32.83590966737098,1.0,0.0,0.0,Shower,1193096.9,0.06841599
21,55936.54164839,1.156137,-0.47456312,1.5698770014069923,2.3463684587386906,1.6397365678285323,10.17818968613508,5.670514628108726,1.0,1.1688429318782543,-1.6371525181512434,Shower,27355.457,0.017007884
22,55941.97578126,5.22561,-0.24196859,1.9279715222685248,-1.1820879091863126,2.330819340641064,218.98134145358847,9.311222549550916,0.8998264253030148,0.1517218302498641,-0.011795748644451922,Shower,194737.84,-0.025065945
