log10(E/GeV),Zenith[deg],direction
3.24,129.355,up-going
3.17,146.022,up-going
2.92,104.176,up-going
2.86,100.679,up-going
3.2,136.192,up-going
3.05,94.477,up-going
2.88,157.854,up-going
3.19,120.063,up-going
2.84,154.486,up-going
5.48,49.714,down-going
3.72,82.007,down-going
3.15,123.582,up-going
4.51,71.215,down-going
2.83,85.599,down-going
3.29,98.444,up-going
3.11,142.853,up-going
2.93,150.945,up-going
2.92,101.922,up-going
3.13,87.116,down-going
2.87,91.625,up-going
3.15,154.188,up-going
2.87,107.603,up-going
2.93,145.311,up-going
5.2,55.101,down-going
4.44,76.105,down-going
3.73,81.524,down-going
3.06,89.733,down-going
3.19,166.74,up-going
3.19,137.52,up-going
3.01,89.964,down-going
2.87,105.617,up-going
2.87,133.527,up-going
2.82,147.605,up-going
5.29,21.9,down-going
4.79,38.382,down-going
3.2,106.89,up-going
2.98,93.346,up-going
2.95,101.637,up-going
3.17,125.75,up-going
3.32,114.265,up-going
2.96,103.079,up-going
3.32,125.395,up-going
2.99,109.66,up-going
5.38,59.512,down-going
3.42,95.764,up-going
2.81,92.962,up-going
2.93,90.975,up-going
4.37,71.802,down-going
5.4,47.013,down-going
4.79,16.42,down-going
2.83,126.132,up-going
4.64,17.564,down-going
3.72,146.568,up-going
3.21,92.8,up-going
4.17,73.841,down-going
4.79,38.31,down-going
3.42,119.582,up-going
5.0,61.841,down-going
2.87,161.846,up-going
4.85,62.575,down-going
3.15,121.083,up-going
2.98,127.194,up-going
3.18,95.45,up-going
2.8,120.289,up-going
4.91,53.49,down-going
2.84,88.057,down-going
4.25,13.174,down-going
5.02,61.364,down-going
3.23,111.232,up-going
5.19,59.342,down-going
5.0,62.081,down-going
5.05,43.097,down-going
5.61,47.086,down-going
3.1,106.124,up-going
2.73,98.308,up-going
2.97,113.412,up-going
3.04,144.62,up-going
3.03,141.384,up-going
2.88,102.037,up-going
2.98,87.247,down-going
2.91,126.378,up-going
2.96,129.309,up-going
2.98,124.266,up-going
3.08,117.78,up-going
3.05,129.735,up-going
3.04,108.781,up-going
5.03,60.3,down-going
2.85,122.235,up-going
3.04,99.862,up-going
4.45,71.901,down-going
2.85,113.268,up-going
3.11,100.457,up-going
4.61,61.5,down-going
2.51,100.181,up-going
2.8,120.24,up-going
4.6,69.387,down-going
3.04,108.359,up-going
4.59,10.329,down-going
5.41,30.095,down-going
3.06,102.596,up-going
2.85,127.023,up-going
2.77,106.383,up-going
3.67,81.933,down-going
2.85,143.044,up-going
3.14,97.789,up-going
3.4,91.424,up-going
4.96,40.168,down-going
4.68,70.212,down-going
4.75,12.816,down-going
3.51,79.414,down-going
5.2,57.298,down-going
2.78,118.12,up-going
2.71,137.522,up-going
4.55,16.469,down-going
2.77,100.595,up-going
5.2,38.657,down-going
3.27,116.271,up-going
2.89,106.293,up-going
2.94,99.186,up-going
4.4,71.171,down-going
4.62,54.156,down-going
3.22,128.543,up-going
2.82,127.56,up-going
2.94,114.19,up-going
2.94,105.921,up-going
4.88,22.499,down-going
5.82,40.315,down-going
4.4,74.342,down-going
5.69,35.966,down-going
3.23,106.721,up-going
3.07,99.625,up-going
5.06,78.813,down-going
3.58,98.067,up-going
3.05,139.586,up-going
3.08,109.779,up-going
3.06,155.861,up-going
2.85,155.515,up-going
2.97,95.491,up-going
2.82,114.709,up-going
3.07,93.433,up-going
4.82,57.655,down-going
3.03,95.219,up-going
2.79,101.761,up-going
2.73,167.103,up-going
5.61,14.153,down-going
3.11,87.876,down-going
4.1,79.753,down-going
3.0,88.13,down-going
2.75,101.321,up-going
3.16,101.371,up-going
3.01,87.985,down-going
2.97,90.897,up-going
3.19,95.97,up-going
2.91,90.114,up-going
2.73,88.023,down-going
5.42,54.97,down-going
3.03,140.904,up-going
2.9,122.409,up-going
2.97,111.83,up-going
3.32,108.149,up-going
3.25,99.451,up-going
2.96,139.293,up-going
3.01,152.312,up-going
4.58,30.228,down-going
2.93,113.28,up-going
2.79,158.388,up-going
2.97,122.069,up-going
3.41,110.677,up-going
3.09,132.876,up-going
2.83,112.927,up-going
2.73,110.498,up-going
3.11,111.35,up-going
3.0,141.763,up-going
3.2,127.322,up-going
3.14,117.843,up-going
5.04,32.183,down-going
2.96,146.301,up-going
3.01,99.414,up-going
3.48,93.853,up-going
2.68,104.103,up-going
2.98,156.285,up-going
2.91,153.505,up-going
2.98,121.596,up-going
3.3,117.829,up-going
2.86,92.908,up-going
3.11,103.621,up-going
2.82,98.569,up-going
4.04,82.532,down-going
5.1,53.51,down-going
5.15,54.756,down-going
5.3,59.109,down-going
5.33,58.135,down-going
4.08,76.237,down-going
5.05,52.79,down-going
3.22,105.78,up-going
4.9,60.183,down-going
3.13,97.825,up-going
3.0,97.896,up-going
3.06,97.427,up-going
3.43,94.355,up-going
3.35,83.07,down-going
2.74,159.163,up-going
3.36,95.391,up-going
2.76,125.742,up-going
2.78,135.414,up-going
3.16,89.215,down-going
2.93,136.928,up-going
2.87,152.559,up-going
2.97,111.535,up-going
3.09,87.717,down-going
3.0,103.374,up-going
3.96,83.274,down-going
2.85,139.138,up-going
3.48,119.152,up-going
4.23,35.76,down-going
2.84,103.297,up-going
3.06,103.702,up-going
3.16,122.376,up-going
3.08,110.562,up-going
4.6,73.145,down-going
2.84,103.406,up-going
3.1,110.68,up-going
5.16,23.843,down-going
3.9,131.049,up-going
3.62,89.074,down-going
3.25,92.69,up-going
4.13,74.575,down-going
3.27,91.649,up-going
4.28,76.351,down-going
2.88,90.17,up-going
3.19,113.472,up-going
3.1,100.211,up-going
3.07,90.198,up-going
3.14,90.215,up-going
5.28,44.496,down-going
3.15,90.0,down-going
2.81,113.793,up-going
2.94,112.848,up-going
2.9,128.93,up-going
3.34,94.812,up-going
2.92,95.549,up-going
3.08,152.228,up-going
3.92,82.124,down-going
4.91,56.703,down-going
3.17,97.323,up-going
4.81,34.399,down-going
2.58,117.195,up-going
3.04,91.388,up-going
4.99,30.641,down-going
5.29,25.513,down-going
2.89,92.712,up-going
4.3,65.832,down-going
4.36,73.804,down-going
4.66,48.124,down-going
5.63,60.19,down-going
4.96,64.272,down-going
4.73,20.27,down-going
2.95,126.293,up-going
3.02,98.891,up-going
2.8,95.523,up-going
4.72,35.025,down-going
4.27,62.385,down-going
2.81,117.113,up-going
2.79,139.919,up-going
3.05,88.52,down-going
2.89,105.07,up-going
5.06,55.419,down-going
2.92,101.921,up-going
2.95,145.433,up-going
4.64,52.327,down-going
2.92,90.973,up-going
2.68,106.94,up-going
3.26,130.236,up-going
3.17,104.662,up-going
3.07,98.15,up-going
2.92,94.481,up-going
3.57,151.661,up-going
2.81,93.514,up-going
4.29,80.929,down-going
2.91,153.146,up-going
2.84,107.697,up-going
3.39,126.27,up-going
2.89,142.02,up-going
3.0,110.464,up-going
3.32,133.09,up-going
4.8,66.526,down-going
3.07,90.341,up-going
3.0,93.629,up-going
4.99,44.413,down-going
5.14,49.369,down-going
4.53,71.858,down-going
2.86,141.746,up-going
5.49,6.852,down-going
5.66,46.577,down-going
4.85,35.545,down-going
5.17,39.064,down-going
3.14,103.058,up-going
3.31,98.521,up-going
2.71,141.567,up-going
2.68,96.729,up-going
5.12,50.61,down-going
2.9,131.511,up-going
3.36,92.763,up-going
3.12,91.097,up-going
2.83,98.091,up-going
5.12,41.788,down-going
3.03,105.821,up-going
3.0,143.879,up-going
5.41,45.028,down-going
2.92,99.147,up-going
2.66,135.765,up-going
3.2,126.552,up-going
4.39,73.222,down-going
2.85,120.05,up-going
2.99,94.022,up-going
5.44,37.455,down-going
2.85,171.898,up-going
2.99,103.401,up-going
2.8,104.768,up-going
3.02,91.855,up-going
2.9,115.744,up-going
3.4,114.317,up-going
3.07,98.181,up-going
5.09,55.319,down-going
2.86,107.028,up-going
2.71,106.845,up-going
3.18,165.776,up-going
3.73,92.085,up-going
4.41,67.933,down-going
2.53,120.279,up-going
3.1,115.751,up-going
2.94,113.055,up-going
4.36,79.862,down-going
2.92,106.455,up-going
3.31,92.174,up-going
2.93,140.45,up-going
5.4,42.84,down-going
2.94,123.454,up-going
2.88,127.86,up-going
3.21,103.401,up-going
2.97,90.939,up-going
2.95,168.47,up-going
3.25,116.229,up-going
4.75,52.912,down-going
5.2,38.907,down-going
3.03,95.868,up-going
2.93,91.396,up-going
4.86,21.657,down-going
3.76,133.112,up-going
2.92,123.244,up-going
2.76,102.983,up-going
3.39,94.834,up-going
2.81,131.104,up-going
2.57,98.149,up-going
3.18,140.93,up-going
2.75,156.326,up-going
4.74,48.207,down-going
4.74,51.376,down-going
4.51,79.595,down-going
5.28,51.598,down-going
4.57,37.958,down-going
2.96,168.951,up-going
3.17,133.577,up-going
2.97,154.59,up-going
2.86,101.074,up-going
3.57,143.86,up-going
3.38,87.088,down-going
2.88,130.373,up-going
2.92,102.396,up-going
2.97,91.766,up-going
5.07,76.701,down-going
4.65,60.235,down-going
2.86,93.026,up-going
3.19,87.278,down-going
2.81,137.133,up-going
3.16,108.349,up-going
2.64,108.226,up-going
3.03,99.058,up-going
5.17,21.004,down-going
4.5,69.537,down-going
3.05,119.436,up-going
3.03,117.262,up-going
2.9,94.625,up-going
2.95,139.766,up-going
2.66,109.801,up-going
2.97,134.845,up-going
4.59,66.947,down-going
3.17,89.028,down-going
2.8,112.932,up-going
5.3,40.445,down-going
3.08,90.106,up-going
3.07,155.616,up-going
4.4,45.77,down-going
2.84,132.429,up-going
5.22,45.253,down-going
3.11,90.327,up-going
3.05,95.096,up-going
2.98,87.836,down-going
3.17,117.972,up-going
3.17,93.378,up-going
2.87,167.8,up-going
3.07,109.518,up-going
3.11,86.286,down-going
3.69,80.069,down-going
3.02,97.208,up-going
4.62,73.962,down-going
3.06,120.053,up-going
3.01,143.462,up-going
3.02,111.506,up-going
3.06,104.857,up-going
2.97,143.937,up-going
4.7,36.515,down-going
2.98,97.952,up-going
4.55,73.136,down-going
2.98,88.965,down-going
3.44,84.534,down-going
3.38,93.271,up-going
2.72,126.326,up-going
2.83,110.079,up-going
5.51,38.227,down-going
3.21,124.602,up-going
3.52,111.086,up-going
3.58,138.405,up-going
2.92,89.313,down-going
3.75,77.981,down-going
2.89,84.966,down-going
2.82,97.696,up-going
3.73,82.819,down-going
5.16,28.015,down-going
2.89,111.759,up-going
2.81,101.672,up-going
4.59,35.002,down-going
4.67,45.297,down-going
5.34,28.498,down-going
3.2,88.384,down-going
4.54,46.916,down-going
3.01,133.204,up-going
3.26,136.427,up-going
3.0,93.981,up-going
3.59,109.139,up-going
3.24,159.835,up-going
4.99,58.815,down-going
3.09,121.938,up-going
3.46,130.321,up-going
4.09,75.137,down-going
4.74,13.272,down-going
3.08,123.157,up-going
5.19,34.87,down-going
3.13,108.957,up-going
5.16,34.084,down-going
3.17,98.938,up-going
4.9,53.885,down-going
2.91,96.107,up-going
2.73,134.031,up-going
4.74,76.122,down-going
4.72,6.998,down-going
5.02,32.134,down-going
2.78,117.762,up-going
4.96,58.347,down-going
2.91,128.782,up-going
2.95,106.069,up-going
2.8,109.376,up-going
2.82,141.959,up-going
2.81,156.621,up-going
2.9,105.695,up-going
2.96,98.817,up-going
2.95,163.218,up-going
5.19,51.199,down-going
2.97,123.399,up-going
2.73,150.926,up-going
2.99,92.985,up-going
3.09,143.238,up-going
2.84,141.882,up-going
3.09,126.69,up-going
3.29,102.142,up-going
2.88,84.674,down-going
3.83,78.777,down-going
4.75,19.293,down-going
3.01,102.672,up-going
3.23,84.47,down-going
2.88,116.85,up-going
2.97,92.5,up-going
3.24,87.874,down-going
4.96,35.795,down-going
4.91,30.56,down-going
3.35,98.012,up-going
2.95,161.014,up-going
3.24,87.664,down-going
4.82,52.536,down-going
2.99,142.713,up-going
3.35,124.648,up-going
2.92,91.583,up-going
3.28,98.581,up-going
2.85,102.26,up-going
2.78,100.437,up-going
2.37,132.373,up-going
2.66,154.052,up-going
2.81,99.076,up-going
2.85,145.148,up-going
2.95,105.044,up-going
3.27,133.424,up-going
2.9,106.459,up-going
3.25,155.833,up-going
2.75,115.91,up-going
3.07,101.131,up-going
2.78,139.97,up-going
2.95,95.843,up-going
2.98,89.862,down-going
2.72,103.211,up-going
3.15,109.089,up-going
2.88,122.439,up-going
5.19,58.857,down-going
3.03,104.007,up-going
4.75,16.547,down-going
2.43,122.869,up-going
2.83,113.237,up-going
2.91,101.421,up-going
2.71,93.755,up-going
3.0,126.94,up-going
2.88,86.246,down-going
4.62,47.159,down-going
3.1,94.288,up-going
3.16,109.432,up-going
5.16,24.367,down-going
3.01,116.664,up-going
2.95,161.871,up-going
2.9,94.08,up-going
2.99,110.232,up-going
3.05,112.355,up-going
2.94,97.944,up-going
4.33,133.534,up-going
2.98,104.885,up-going
2.6,96.744,up-going
5.07,38.051,down-going
3.0,97.021,up-going
3.05,112.359,up-going
5.38,32.816,down-going
4.7,38.74,down-going
5.46,60.661,down-going
3.1,92.363,up-going
2.88,97.425,up-going
5.42,46.676,down-going
5.32,53.572,down-going
5.07,58.086,down-going
3.91,80.328,down-going
2.68,134.882,up-going
4.93,57.352,down-going
5.53,60.896,down-going
2.49,159.324,up-going
2.67,144.068,up-going
2.94,89.77,down-going
3.08,89.163,down-going
2.83,100.523,up-going
3.03,89.56,down-going
3.01,99.694,up-going
3.08,116.067,up-going
2.89,113.406,up-going
3.02,120.616,up-going
2.86,89.932,down-going
2.81,90.661,up-going
2.81,101.928,up-going
2.83,91.935,up-going
4.43,73.789,down-going
3.15,120.499,up-going
2.87,91.375,up-going
3.33,123.538,up-going
2.84,120.775,up-going
2.78,153.97,up-going
3.25,99.736,up-going
4.73,65.904,down-going
2.7,122.302,up-going
4.88,64.661,down-going
3.85,79.1,down-going
5.57,25.397,down-going
4.8,52.964,down-going
3.12,137.897,up-going
4.89,54.761,down-going
5.66,46.38,down-going
2.73,102.248,up-going
3.85,98.681,up-going
2.92,103.601,up-going
2.81,143.432,up-going
3.16,122.692,up-going
2.85,99.964,up-going
2.75,140.532,up-going
2.77,102.376,up-going
2.82,142.955,up-going
2.89,132.291,up-going
2.81,85.113,down-going
3.15,114.651,up-going
4.52,5.168,down-going
3.84,103.832,up-going
3.11,133.679,up-going
5.47,49.232,down-going
2.99,145.691,up-going
5.16,27.923,down-going
2.83,172.235,up-going
2.7,128.211,up-going
4.99,51.94,down-going
5.11,52.447,down-going
2.96,92.468,up-going
3.28,115.059,up-going
3.21,161.61,up-going
2.74,91.416,up-going
5.02,61.139,down-going
2.46,101.932,up-going
2.78,110.278,up-going
5.14,70.224,down-going
3.21,98.293,up-going
5.13,50.399,down-going
2.9,92.932,up-going
2.96,86.136,down-going
3.23,95.776,up-going
2.68,105.487,up-going
3.03,137.125,up-going
2.69,101.434,up-going
4.54,65.323,down-going
4.29,72.285,down-going
5.31,55.609,down-going
3.04,131.01,up-going
3.12,100.387,up-going
3.02,143.532,up-going
2.93,94.019,up-going
2.84,90.759,up-going
4.29,71.451,down-going
2.68,127.76,up-going
4.69,74.766,down-going
2.98,133.37,up-going
2.99,119.552,up-going
5.38,34.711,down-going
2.89,122.344,up-going
3.39,100.467,up-going
5.57,46.065,down-going
2.78,89.072,down-going
3.14,118.769,up-going
3.11,133.201,up-going
2.9,87.514,down-going
2.69,101.835,up-going
2.89,92.285,up-going
3.08,167.255,up-going
2.99,128.829,up-going
3.21,117.689,up-going
2.92,92.258,up-going
2.82,121.609,up-going
5.13,31.753,down-going
2.97,88.668,down-going
2.88,115.42,up-going
2.62,122.242,up-going
5.16,44.819,down-going
3.62,112.058,up-going
3.01,106.669,up-going
3.03,113.329,up-going
3.13,110.311,up-going
2.85,141.571,up-going
3.19,90.873,up-going
3.51,89.496,down-going
2.9,136.037,up-going
2.54,84.862,down-going
4.43,73.68,down-going
3.04,89.903,down-going
2.96,127.714,up-going
4.89,37.518,down-going
4.83,72.4,down-going
2.55,129.779,up-going
4.62,40.705,down-going
3.01,84.46,down-going
3.0,110.884,up-going
2.83,148.22,up-going
3.13,116.836,up-going
3.69,101.02,up-going
4.91,66.777,down-going
2.84,117.892,up-going
2.82,97.615,up-going
2.86,124.066,up-going
2.93,129.692,up-going
5.54,60.487,down-going
3.35,95.412,up-going
4.67,66.385,down-going
3.04,102.644,up-going
2.87,97.77,up-going
2.83,104.038,up-going
3.07,111.802,up-going
3.37,96.259,up-going
2.96,149.251,up-going
3.24,106.161,up-going
3.2,150.445,up-going
3.02,92.295,up-going
2.99,141.023,up-going
3.01,88.54,down-going
2.78,106.292,up-going
2.9,109.393,up-going
2.79,110.528,up-going
5.08,38.984,down-going
3.0,103.048,up-going
5.67,28.191,down-going
4.74,38.853,down-going
4.69,15.603,down-going
5.19,32.831,down-going
2.81,112.1,up-going
3.35,113.072,up-going
3.11,112.469,up-going
3.34,133.063,up-going
2.63,167.466,up-going
5.26,29.109,down-going
2.9,133.032,up-going
2.96,100.307,up-going
2.71,130.454,up-going
3.11,118.573,up-going
4.5,72.003,down-going
4.12,76.758,down-going
3.05,112.56,up-going
2.71,119.85,up-going
3.27,157.688,up-going
4.55,73.627,down-going
2.99,142.085,up-going
3.09,93.269,up-going
4.19,75.582,down-going
2.9,140.695,up-going
3.01,125.578,up-going
3.16,130.578,up-going
4.37,19.864,down-going
5.07,26.358,down-going
2.94,103.527,up-going
3.15,95.191,up-going
4.23,74.518,down-going
2.62,154.126,up-going
3.82,92.329,up-going
4.07,72.024,down-going
3.13,89.394,down-going
2.87,108.567,up-going
4.98,26.036,down-going
2.89,90.392,up-going
3.24,95.883,up-going
2.89,102.695,up-going
5.36,60.253,down-going
2.79,130.031,up-going
2.83,84.019,down-going
4.53,75.587,down-going
2.72,165.525,up-going
2.97,139.175,up-going
3.06,93.038,up-going
3.1,99.307,up-going
2.94,89.654,down-going
2.79,104.858,up-going
5.6,40.178,down-going
3.14,130.904,up-going
3.1,157.558,up-going
3.11,89.403,down-going
3.07,142.34,up-going
2.94,103.11,up-going
3.23,133.587,up-going
3.01,138.16,up-going
2.84,88.831,down-going
2.87,108.183,up-going
5.01,58.373,down-going
3.02,131.247,up-going
5.15,60.952,down-going
3.04,114.012,up-going
2.68,131.764,up-going
3.11,111.483,up-going
5.02,50.762,down-going
2.91,96.115,up-going
5.02,49.037,down-going
3.0,93.206,up-going
4.12,79.518,down-going
2.63,104.366,up-going
2.94,89.662,down-going
5.14,40.106,down-going
2.87,118.351,up-going
4.65,61.11,down-going
3.65,83.319,down-going
2.94,135.397,up-going
6.27,48.751,down-going
4.99,43.124,down-going
3.24,87.432,down-going
4.34,75.809,down-going
5.37,34.608,down-going
2.94,155.849,up-going
3.23,124.97,up-going
2.97,98.182,up-going
3.01,94.183,up-going
3.63,110.348,up-going
4.98,40.211,down-going
2.89,107.165,up-going
4.86,24.12,down-going
2.77,123.781,up-going
2.94,121.376,up-going
3.27,109.273,up-going
3.66,82.775,down-going
2.74,176.385,up-going
3.01,147.259,up-going
5.2,37.027,down-going
5.05,43.875,down-going
3.14,150.672,up-going
2.83,108.566,up-going
2.87,107.63,up-going
4.48,20.024,down-going
3.21,137.789,up-going
3.0,150.447,up-going
3.04,110.499,up-going
3.23,148.231,up-going
2.95,148.182,up-going
5.3,43.56,down-going
2.84,92.079,up-going
4.25,73.522,down-going
4.69,58.683,down-going
3.23,93.658,up-going
2.69,126.368,up-going
2.9,111.242,up-going
2.8,96.441,up-going
3.19,99.629,up-going
6.01,42.567,down-going
4.01,77.533,down-going
5.07,23.859,down-going
2.66,97.825,up-going
3.02,136.034,up-going
4.66,72.562,down-going
2.8,123.843,up-going
3.02,112.24,up-going
2.83,108.086,up-going
5.11,19.497,down-going
4.95,65.123,down-going
2.79,95.168,up-going
3.25,103.271,up-going
5.31,28.818,down-going
2.66,143.377,up-going
3.11,161.563,up-going
2.85,90.259,up-going
3.1,124.573,up-going
3.01,99.624,up-going
3.13,98.322,up-going
2.73,88.51,down-going
4.94,31.318,down-going
5.09,44.944,down-going
4.11,74.358,down-going
2.62,165.711,up-going
3.49,88.979,down-going
3.18,101.866,up-going
5.23,43.237,down-going
4.99,30.155,down-going
3.27,108.41,up-going
5.16,23.401,down-going
2.73,97.56,up-going
4.71,64.302,down-going
2.82,116.667,up-going
4.98,25.31,down-going
5.25,52.223,down-going
2.78,93.116,up-going
3.29,113.791,up-going
3.04,93.512,up-going
3.02,98.47,up-going
2.64,155.88,up-going
3.15,102.013,up-going
3.19,144.25,up-going
3.4,86.979,down-going
2.94,131.266,up-going
2.82,131.303,up-going
2.9,178.013,up-going
5.41,55.705,down-going
4.23,131.432,up-going
4.61,66.771,down-going
3.08,116.049,up-going
4.98,71.675,down-going
2.92,111.891,up-going
5.19,50.029,down-going
3.09,100.924,up-going
3.22,103.897,up-going
2.92,105.338,up-going
2.71,94.144,up-going
2.77,142.69,up-going
3.05,104.623,up-going
4.67,65.108,down-going
2.98,91.656,up-going
3.0,86.376,down-going
2.81,96.777,up-going
5.04,65.202,down-going
2.97,131.558,up-going
2.88,98.04,up-going
2.86,121.436,up-going
4.92,32.586,down-going
4.82,38.434,down-going
2.64,125.934,up-going
3.04,115.57,up-going
2.94,113.277,up-going
2.77,159.141,up-going
4.94,36.031,down-going
2.73,101.771,up-going
4.35,78.987,down-going
5.2,35.271,down-going
2.92,128.526,up-going
2.88,126.577,up-going
2.77,87.784,down-going
2.94,96.665,up-going
3.21,144.349,up-going
3.08,155.762,up-going
4.65,46.318,down-going
3.06,142.394,up-going
5.08,61.932,down-going
3.02,103.044,up-going
4.18,72.484,down-going
2.93,132.558,up-going
2.93,129.378,up-going
3.07,128.742,up-going
3.03,134.799,up-going
2.97,100.427,up-going
4.87,55.341,down-going
3.62,96.534,up-going
5.07,39.607,down-going
5.09,40.933,down-going
3.44,137.661,up-going
4.02,73.174,down-going
3.07,153.864,up-going
2.73,160.175,up-going
3.14,116.623,up-going
2.64,157.927,up-going
2.96,86.983,down-going
2.89,89.854,down-going
5.35,24.796,down-going
2.99,87.243,down-going
3.08,107.123,up-going
2.86,128.941,up-going
2.94,122.573,up-going
3.18,93.217,up-going
2.77,118.805,up-going
5.03,58.331,down-going
2.87,103.15,up-going
2.88,120.268,up-going
2.91,92.681,up-going
5.18,37.45,down-going
2.85,91.66,up-going
3.06,87.389,down-going
2.78,120.097,up-going
2.98,90.872,up-going
3.04,115.031,up-going
3.11,141.711,up-going
2.74,104.127,up-going
2.77,120.264,up-going
4.65,63.393,down-going
2.97,88.092,down-going
3.51,101.153,up-going
2.9,153.467,up-going
5.32,47.204,down-going
4.24,73.18,down-going
4.9,58.164,down-going
5.16,59.954,down-going
3.45,97.141,up-going
5.17,57.915,down-going
3.28,94.579,up-going
2.82,122.693,up-going
5.02,26.085,down-going
4.64,64.441,down-going
2.95,145.468,up-going
3.09,100.484,up-going
3.11,114.168,up-going
3.24,148.458,up-going
3.11,109.869,up-going
3.56,93.505,up-going
5.72,39.027,down-going
4.71,63.2,down-going
2.97,100.39,up-going
2.87,135.663,up-going
3.11,112.223,up-going
4.95,34.576,down-going
2.57,92.028,up-going
3.11,136.432,up-going
2.97,119.772,up-going
2.88,132.19,up-going
2.88,100.653,up-going
3.21,86.48,down-going
3.02,155.886,up-going
2.96,138.005,up-going
2.82,94.72,up-going
2.98,97.006,up-going
4.83,34.029,down-going
4.95,17.715,down-going
5.81,37.038,down-going
2.65,147.634,up-going
2.94,148.545,up-going
2.91,119.848,up-going
2.85,121.582,up-going
3.04,98.325,up-going
2.96,103.802,up-going
3.29,94.564,up-going
3.02,92.728,up-going
4.99,22.121,down-going
2.98,132.135,up-going
2.85,133.443,up-going
2.87,115.36,up-going
3.03,113.484,up-going
3.03,97.796,up-going
2.87,127.567,up-going
3.01,107.072,up-going
3.14,85.949,down-going
3.66,80.829,down-going
5.15,59.186,down-going
2.78,128.041,up-going
4.91,64.928,down-going
2.9,94.426,up-going
2.93,107.46,up-going
2.77,122.96,up-going
5.01,69.875,down-going
2.79,125.124,up-going
2.78,91.886,up-going
3.13,128.62,up-going
2.26,109.46,up-going
5.66,56.573,down-going
4.21,74.987,down-going
2.88,134.481,up-going
2.99,142.761,up-going
2.98,88.522,down-going
5.74,49.522,down-going
3.13,86.31,down-going
3.41,89.212,down-going
2.81,138.141,up-going
3.17,111.268,up-going
2.91,122.044,up-going
2.69,91.639,up-going
2.93,148.82,up-going
2.96,154.045,up-going
3.03,92.556,up-going
4.76,70.842,down-going
2.89,109.568,up-going
2.92,89.63,down-going
2.88,105.576,up-going
4.79,15.38,down-going
5.04,38.159,down-going
2.82,106.992,up-going
2.99,118.508,up-going
4.66,70.046,down-going
3.19,103.372,up-going
2.78,130.485,up-going
3.08,98.612,up-going
2.95,132.47,up-going
3.65,93.785,up-going
3.01,89.387,down-going
2.86,98.414,up-going
3.33,132.132,up-going
2.62,158.811,up-going
3.09,108.513,up-going
3.15,103.893,up-going
5.1,32.38,down-going
5.16,35.214,down-going
2.96,166.127,up-going
3.7,158.317,up-going
3.02,150.571,up-going
3.41,99.859,up-going
5.1,59.394,down-going
2.92,135.493,up-going
4.42,67.693,down-going
3.6,83.047,down-going
5.36,54.868,down-going
3.41,86.07,down-going
3.07,102.036,up-going
3.04,117.107,up-going
4.95,31.123,down-going
4.19,74.771,down-going
2.96,96.813,up-going
5.39,39.903,down-going
2.73,90.898,up-going
3.02,97.928,up-going
5.2,64.563,down-going
4.45,63.663,down-going
3.05,94.047,up-going
4.59,22.139,down-going
2.89,139.234,up-going
5.31,58.996,down-going
3.03,150.205,up-going
4.25,68.205,down-going
2.91,153.125,up-going
2.97,93.98,up-going
5.28,40.455,down-going
4.64,49.585,down-going
2.62,100.696,up-going
2.91,128.186,up-going
2.89,129.28,up-going
2.75,88.578,down-going
3.03,108.135,up-going
3.08,100.451,up-going
3.0,109.71,up-going
2.96,107.492,up-going
2.7,93.288,up-going
5.24,25.694,down-going
2.75,134.209,up-going
5.32,60.583,down-going
5.59,41.766,down-going
3.14,119.777,up-going
4.59,61.164,down-going
2.8,140.595,up-going
3.34,141.12,up-going
3.11,164.036,up-going
5.31,56.888,down-going
3.01,150.425,up-going
2.79,109.283,up-going
3.16,90.327,up-going
3.47,127.43,up-going
3.02,114.716,up-going
3.07,156.707,up-going
3.16,135.099,up-going
2.56,148.067,up-going
2.96,109.598,up-going
3.47,84.514,down-going
3.18,104.88,up-going
5.66,48.968,down-going
2.72,142.073,up-going
3.94,81.955,down-going
2.92,158.401,up-going
2.8,137.126,up-going
4.9,57.628,down-going
5.77,66.496,down-going
2.99,115.188,up-going
3.09,125.969,up-going
3.57,82.547,down-going
3.03,114.805,up-going
3.28,95.904,up-going
2.95,112.269,up-going
3.0,118.225,up-going
2.78,98.709,up-going
2.82,118.82,up-going
2.87,152.539,up-going
3.01,96.667,up-going
3.03,108.795,up-going
2.96,120.387,up-going
5.08,56.599,down-going
3.41,84.506,down-going
2.92,106.273,up-going
3.0,145.736,up-going
2.96,102.023,up-going
4.75,30.062,down-going
2.96,90.868,up-going
2.94,89.731,down-going
3.05,92.88,up-going
3.14,89.714,down-going
3.0,166.584,up-going
2.73,102.476,up-going
5.39,44.008,down-going
2.87,105.469,up-going
4.98,38.463,down-going
3.12,112.291,up-going
2.88,148.296,up-going
4.34,72.358,down-going
2.95,102.706,up-going
2.68,165.829,up-going
2.99,85.887,down-going
4.81,66.509,down-going
3.19,122.749,up-going
5.35,24.814,down-going
2.99,122.277,up-going
2.76,105.039,up-going
2.92,105.325,up-going
3.84,90.546,up-going
4.83,64.413,down-going
2.8,100.855,up-going
5.85,45.354,down-going
3.65,77.746,down-going
3.57,112.31,up-going
2.96,95.322,up-going
4.35,72.522,down-going
3.16,101.39,up-going
3.63,94.82,up-going
3.18,107.553,up-going
4.73,40.229,down-going
5.13,48.218,down-going
2.77,151.633,up-going
3.12,100.293,up-going
2.95,104.1,up-going
